Title,Artist,File Path,City,Decade,ImageURL
Amor Regresa,Los Askis,Bogota/BogotaMusic/2000s/AmorRegresa.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b273301371427ac7eb47c1667249
Guaracha Sabrosona,Alberto Pedraza +,Bogota/BogotaMusic/2000s/GuarachaSabrosona.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b273f19548600af1d809856a3409
Yo Soy Tu Maestro,Los Telez,Bogota/BogotaMusic/2000s/YoSoyTuMaestro.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b2737af963fd022511681aa1314f
Felicidad,Los Socios Del Ritmo,Bogota/BogotaMusic/2000s/Felicidad.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b273792160bdfa9062548fcf5e21
Nunca Es Suficiente,Los Angeles Azules,Bogota/BogotaMusic/2010s/NuncaEsSuficiente.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b2733616f5d3c8e4e13081d14bde
Oye Mujer,Raymix,Bogota/BogotaMusic/2010s/OyeMujer.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b273cb610f9d9d31287af389de3b
Cumbia Sampuesana,La Luz Roja De San Marcos,Bogota/BogotaMusic/2010s/CumbiaSampuesana.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b273140c515edf8eeee019553b7f
Tus Jefes No Me Quieren,Grupo Ensamble,Bogota/BogotaMusic/2010s/TusJefesNoMeQuieren.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b273a80826229bb3dc41af514ae9
Que Te Vaya Bien,Grupo Jalado,Bogota/BogotaMusic/2010s/QueTeVayaBien.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b27368f98f0f85b791d49d340e57
Que Bello,La Sonora Dinamita,Bogota/BogotaMusic/2010s/QueBello.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b273ee3770891a03a1b34a9d3505
Donde Estaras,ICC,Bogota/BogotaMusic/2010s/DondeEstaras.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b273275f82eea37c108d6320a72d
No Me Llames Mas,Alcalde La Sonora,Bogota/BogotaMusic/2010s/NoMeLlamesMas.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b2730432c43b11cd5256a7f161b1
El Colesterol,Fito Olivares,Bogota/BogotaMusic/2010s/ElColesterol.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b27380c94bab18ea0eea3f410d25
Amor A Primera Vista,Los Angeles Azules,Bogota/BogotaMusic/2010s/AmorAPrimeraVista.mp3,Bogota,2010s,https://i.scdn.co/image/ab67616d0000b273b017ddd6dc1835dcb15c9e3b
Ain’t Nobody Better,Inner City,London/LondonMusic/1980s/AintNobodyBetter.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b2734573e6f96afc42c80f3ed183
Back To Life,Soul II Soul,London/LondonMusic/1980s/BackToLife.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b2732c6504b9f170161d93079e25
Just Keep Rockin,Double Trouble,London/LondonMusic/1980s/JustKeepRockin.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b27338558842e76431ee18e2eb44
My Love Is Magic,Bäs Noir,London/LondonMusic/1980s/MyLoveIsMagic.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b273fd1720d0cc7c3b25b5318943
Devotion,Ten City,London/LondonMusic/1980s/Devotion.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b2730b69a1a1e9e6c46eff17305a
Yeah Buddy,Royal House,London/LondonMusic/1980s/YeahBuddy.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b273712503d6736d7ae3daa9b0aa
Get Busy,Mr. Lee,London/LondonMusic/1980s/GetBusy.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b2730d234025ac055b6b1dcfb166
I’ll House You,Jungle Brothers,London/LondonMusic/1980s/IllHouseYou.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b273af7d50dbfd861e5359d8bb68
I’m Glad You Came To Me,Bäs Noir,London/LondonMusic/1980s/ImGladYouCameToMe.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b273361abdc420dadb0efafca4f8
Love House,Samantha Fox,London/LondonMusic/1980s/LoveHouse.mp3,London,1980s,https://i.scdn.co/image/ab67616d0000b2730c9672bd8f7f2a1955c414ca
Friendly Pressure,Jhelisa,London/LondonMusic/1990s/FriendlyPressure.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b2737307bf3c6caf9a668391b417
Bounce to the Beat,Todd Terry,London/LondonMusic/1990s/BounceToTheBeat.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b273f39e6e603eb39c78b718aed0
House of Love,Smooth Touch,London/LondonMusic/1990s/HouseOfLove.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b2732d1565683e4aa2d619ed7b02
Throw Ya Hands Up,Ground 96,London/LondonMusic/1990s/ThrowYaHandsUp.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b273fe510e8d265938164c72d770
RIP Groove,Double 99,London/LondonMusic/1990s/RIPGroove.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b273c9638b4c6919a89f068356f1
Dancing For Heaven,Todd Edwards,London/LondonMusic/1990s/DancingForHeaven.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b273baf4d142bc024ff89a6b9de0
Get Down - We Can Get Down,Groove Chronicles,London/LondonMusic/1990s/GetDownWeCanGetDown.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b2734c54fba135d90f5a72db6d6f
Movin Too Fast,Romina Johnson,London/LondonMusic/1990s/MovinTooFast.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b273021ac8286f2c14e6302d02f0
Burning,MK,London/LondonMusic/1990s/Burning.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b27347fc666f884668d9f89edce6
A Little Bit Of Luck,DJ Luck & MC Neat,London/LondonMusic/1990s/ALittleBitOfLuck.mp3,London,1990s,https://i.scdn.co/image/ab67616d0000b273943528dd3e6f895a1a29e5d9
Love Eviction,Quartzlock,London/LondonMusic/2000s/LoveEviction.mp3,London,2000s,https://i.scdn.co/image/ab67616d0000b27322e51518e12705f55e8709d9
Attention!,Commander Tom,London/LondonMusic/2000s/Attention.mp3,London,2000s,https://i.scdn.co/image/ab67616d0000b273e9d82ad2a91d19fd0983a7b8
Sensitivity,The Shapeshifters,London/LondonMusic/2000s/Sensitivity.mp3,London,2000s,https://i.scdn.co/image/ab67616d0000b273bd92244b907a9383ccf8bea6
Pump It Up,Danzel,London/LondonMusic/2000s/PumpItUp.mp3,London,2000s,https://i.scdn.co/image/ab67616d0000b27378eb16dec42311affba53a32
You’re The Reason,Wamdue Project,London/LondonMusic/2000s/YoureTheReason.mp3,London,2000s,https://i.scdn.co/image/ab67616d0000b2730da8ae5e1f425052b490d3b3
